ticker,entry_date,weekly_expiry,monthly_expiry,spot,atm_strike,gross_pnl,fixed_cost,net_pnl
NIFTY,2025-10-01,2025-10-07,2025-10-28,24659.95,24650.0,1830.8250000000155,160.0,1670.8250000000153
NIFTY,2025-10-08,2025-10-14,2025-10-28,25167.6,25150.0,3271.6687500000016,160.0,3111.6687500000016
NIFTY,2025-10-15,2025-10-20,2025-10-28,25262.25,25250.0,1401.9937500000087,160.0,1241.9937500000087
NIFTY,2025-10-20,2025-10-28,2025-10-28,25868.9,25850.0,-361.7062499999938,160.0,-521.7062499999938
NIFTY,2025-10-29,2025-11-04,2025-11-25,26016.55,26000.0,2214.825000000012,160.0,2054.825000000012
NIFTY,2025-11-04,2025-11-11,2025-11-25,25708.1,25700.0,6264.112500000002,160.0,6104.112500000002
NIFTY,2025-11-12,2025-11-18,2025-11-25,25790.25,25800.0,-4160.718749999998,160.0,-4320.718749999998
NIFTY,2025-11-19,2025-11-25,2025-11-25,25901.4,25900.0,5204.025,160.0,5044.025
NIFTY,2025-12-03,2025-12-09,2025-12-30,25966.4,25950.0,4147.147500000005,160.0,3987.1475000000046
NIFTY,2025-12-10,2025-12-16,2025-12-30,25898.7,25900.0,3578.3437499999955,160.0,3418.3437499999955
NIFTY,2025-12-17,2025-12-23,2025-12-30,25898.2,25900.0,-2991.449999999999,160.0,-3151.449999999999
NIFTY,2025-12-24,2025-12-30,2025-12-30,26217.55,26200.0,-1596.7874999999894,160.0,-1756.7874999999894
NIFTY,2025-12-31,2026-01-06,2026-01-27,26012.45,26000.0,-3464.6429999999978,160.0,-3624.6429999999978
NIFTY,2026-01-07,2026-01-13,2026-01-27,26128.95,26150.0,-1204.5279999999984,160.0,-1364.5279999999984
NIFTY,2026-01-14,2026-01-20,2026-01-27,25744.95,25750.0,-1796.94125,160.0,-1956.94125
NIFTY,2026-01-21,2026-01-27,2026-01-27,25231.8,25250.0,344.158750000006,160.0,184.158750000006
NIFTY,2026-01-28,2026-02-03,2026-02-24,25348.75,25350.0,-3663.741249999979,160.0,-3823.741249999979
NIFTY,2026-02-04,2026-02-10,2026-02-24,25764.7,25750.0,-3241.452499999996,160.0,-3401.452499999996
NIFTY,2026-02-11,2026-02-17,2026-02-24,25977.2,26000.0,-365.5599999999922,160.0,-525.5599999999922
NIFTY,2026-02-18,2026-02-24,2026-02-24,25723.65,25700.0,-1271.2537499999926,160.0,-1431.2537499999926
NIFTY,2026-02-25,2026-03-02,2026-03-30,25578.3,25600.0,160.0625000000182,160.0,0.0625000000181899
NIFTY,2026-03-04,2026-03-10,2026-03-30,24353.55,24350.0,4834.586250000011,160.0,4674.586250000011
NIFTY,2026-03-11,2026-03-17,2026-03-30,24227.25,24250.0,-703.4949999999844,160.0,-863.4949999999844
NIFTY,2026-03-18,2026-03-24,2026-03-30,23732.2,23750.0,-2202.83374999998,160.0,-2362.83374999998
NIFTY,2026-03-25,2026-03-30,2026-03-30,23219.5,23200.0,-1325.00874999999,160.0,-1485.00874999999
NIFTY,2026-04-01,2026-04-07,2026-04-28,22911.45,22900.0,-6781.141250000001,160.0,-6941.141250000001
NIFTY,2026-04-08,2026-04-13,2026-04-28,23897.9,23900.0,1578.1512500000135,160.0,1418.1512500000135
NIFTY,2026-04-15,2026-04-21,2026-04-28,24183.25,24200.0,-3467.554999999991,160.0,-3627.554999999991
NIFTY,2026-04-22,2026-04-28,2026-04-28,24440.7,24450.0,-1140.9612499999894,160.0,-1300.9612499999894
NIFTY,2026-04-29,2026-05-05,2026-05-26,24118.2,24100.0,3697.9312500000015,160.0,3537.9312500000024
NIFTY,2026-05-06,2026-05-12,2026-05-26,24175.15,24200.0,2058.988750000015,160.0,1898.988750000015
NIFTY,2026-05-13,2026-05-19,2026-05-26,23385.0,23400.0,-5420.999999999998,160.0,-5580.999999999998
NIFTY,2026-05-20,2026-05-26,2026-05-26,23489.05,23500.0,-1160.6237500000009,160.0,-1320.6237500000009
