ticker,scheduled_entry_date,entry_date,weekly_expiry,monthly_expiry,spot,spot_timestamp,atm_strike,gross_pnl,fixed_cost,net_pnl,legs_completed
NIFTY,2025-10-01,2025-10-01,2025-10-07,2025-10-28,24659.95,2025-10-01 09:30:00+05:30,24650.0,-3479.1749999999956,160.0,-3639.1749999999956,4
NIFTY,2025-10-08,2025-10-08,2025-10-14,2025-10-28,25167.6,2025-10-08 09:30:00+05:30,25150.0,-4280.831249999992,160.0,-4440.831249999992,4
NIFTY,2025-10-15,2025-10-15,2025-10-20,2025-10-28,25262.25,2025-10-15 09:30:00+05:30,25250.0,-3000.506249999984,160.0,-3160.506249999984,4
NIFTY,2025-10-22,2025-10-20,2025-10-28,2025-10-28,25868.9,2025-10-20 09:30:00+05:30,25850.0,-414.2062500000011,160.0,-574.2062500000011,4
NIFTY,2025-10-29,2025-10-29,2025-11-04,2025-11-25,26016.55,2025-10-29 09:30:00+05:30,26000.0,-3875.1749999999993,160.0,-4035.1749999999993,4
NIFTY,2025-11-05,2025-11-04,2025-11-11,2025-11-25,25708.1,2025-11-04 09:30:00+05:30,25700.0,-7505.887499999996,160.0,-7665.887499999996,4
NIFTY,2025-11-12,2025-11-12,2025-11-18,2025-11-25,25790.25,2025-11-12 09:30:00+05:30,25800.0,3121.7812500000055,160.0,2961.7812500000055,4
NIFTY,2025-11-19,2025-11-19,2025-11-25,2025-11-25,25901.4,2025-11-19 09:30:00+05:30,25900.0,-5895.974999999995,160.0,-6055.974999999995,4
NIFTY,2025-12-03,2025-12-03,2025-12-09,2025-12-30,25966.4,2025-12-03 09:30:00+05:30,25950.0,-5443.852499999988,160.0,-5603.852499999988,4
NIFTY,2025-12-10,2025-12-10,2025-12-16,2025-12-30,25898.7,2025-12-10 09:30:00+05:30,25900.0,-4649.156249999987,160.0,-4809.156249999987,4
NIFTY,2025-12-17,2025-12-17,2025-12-23,2025-12-30,25898.2,2025-12-17 09:30:00+05:30,25900.0,1898.5500000000084,160.0,1738.5500000000084,4
NIFTY,2025-12-24,2025-12-24,2025-12-30,2025-12-30,26217.55,2025-12-24 09:30:00+05:30,26200.0,728.2125000000051,160.0,568.2125000000051,4
NIFTY,2025-12-31,2025-12-31,2026-01-06,2026-01-27,26012.45,2025-12-31 09:30:00+05:30,26000.0,2419.157000000008,160.0,2259.157000000008,4
NIFTY,2026-01-07,2026-01-07,2026-01-13,2026-01-27,26128.95,2026-01-07 09:30:00+05:30,26150.0,48.67200000001321,160.0,-111.32799999998679,4
NIFTY,2026-01-14,2026-01-14,2026-01-20,2026-01-27,25744.95,2026-01-14 09:30:00+05:30,25750.0,549.558750000002,160.0,389.55875000000196,4
NIFTY,2026-01-21,2026-01-21,2026-01-27,2026-01-27,25231.8,2026-01-21 09:30:00+05:30,25250.0,-1001.3412499999977,160.0,-1161.3412499999977,4
NIFTY,2026-01-28,2026-01-28,2026-02-03,2026-02-24,25348.75,2026-01-28 09:30:00+05:30,25350.0,2023.7587499999972,160.0,1863.7587499999972,4
NIFTY,2026-02-04,2026-02-04,2026-02-10,2026-02-24,25764.7,2026-02-04 09:30:00+05:30,25750.0,2101.5474999999983,160.0,1941.5474999999983,4
NIFTY,2026-02-11,2026-02-11,2026-02-17,2026-02-24,25977.2,2026-02-11 09:30:00+05:30,26000.0,-612.5599999999922,160.0,-772.5599999999922,4
NIFTY,2026-02-18,2026-02-18,2026-02-24,2026-02-24,25723.65,2026-02-18 09:30:00+05:30,25700.0,412.2462500000056,160.0,252.2462500000056,4
NIFTY,2026-02-25,2026-02-25,2026-03-02,2026-03-30,25578.3,2026-02-25 09:30:00+05:30,25600.0,-2036.9374999999964,160.0,-2196.9374999999964,4
NIFTY,2026-03-04,2026-03-04,2026-03-10,2026-03-30,24353.55,2026-03-04 09:30:00+05:30,24350.0,-6676.913749999995,160.0,-6836.913749999995,4
NIFTY,2026-03-11,2026-03-11,2026-03-17,2026-03-30,24227.25,2026-03-11 09:30:00+05:30,24250.0,-1262.4949999999917,160.0,-1422.4949999999917,4
NIFTY,2026-03-18,2026-03-18,2026-03-24,2026-03-30,23732.2,2026-03-18 09:30:00+05:30,23750.0,208.66625000000204,160.0,48.66625000000204,4
NIFTY,2026-03-25,2026-03-25,2026-03-30,2026-03-30,23219.5,2026-03-25 09:30:00+05:30,23200.0,-720.5087499999863,160.0,-880.5087499999863,4
NIFTY,2026-04-01,2026-04-01,2026-04-07,2026-04-28,22911.45,2026-04-01 09:30:00+05:30,22900.0,4535.358750000022,160.0,4375.358750000022,4
NIFTY,2026-04-08,2026-04-08,2026-04-13,2026-04-28,23897.9,2026-04-08 09:30:00+05:30,23900.0,-3173.3487499999956,160.0,-3333.3487499999956,4
NIFTY,2026-04-15,2026-04-15,2026-04-21,2026-04-28,24183.25,2026-04-15 09:30:00+05:30,24200.0,1979.4450000000088,160.0,1819.4450000000088,4
NIFTY,2026-04-22,2026-04-22,2026-04-28,2026-04-28,24440.7,2026-04-22 09:30:00+05:30,24450.0,-211.46124999999302,160.0,-371.461249999993,4
